Key|Unit|Parameter|Description
``Mu_JC``|mag|:math:`U`| :math:`U` magnitude in the Johnson/Cousins photometric system
``Mbx_JC``|mag|:math:`Bx`| :math:`Bx` magnitude in the Johnson/Cousins photometric system
``Mb_JC``|mag|:math:`B`| :math:`B` magnitude in the Johnson/Cousins photometric system
``Mv_JC``|mag|:math:`V`| :math:`V` magnitude in the Johnson/Cousins photometric system
``Mr_JC``|mag|:math:`R`| :math:`R` magnitude in the Johnson/Cousins photometric system
``Mi_JC``|mag|:math:`I`| :math:`I` magnitude in the Johnson/Cousins photometric system
``Mj_JC``|mag|:math:`J`| :math:`J` magnitude in the Johnson/Cousins photometric system
``Mh_JC``|mag|:math:`H`| :math:`H` magnitude in the Johnson/Cousins photometric system
``Mk_JC``|mag|:math:`K`| :math:`K` magnitude in the Johnson/Cousins photometric system
``Mlp_JC``|mag|:math:`Lp`| :math:`Lp` magnitude in the Johnson/Cousins photometric system
``Ml_JC``|mag|:math:`L`| :math:`L` magnitude in the Johnson/Cousins photometric system
``Mm_JC``|mag|:math:`M`| :math:`M` magnitude in the Johnson/Cousins photometric system
``Mu_SAGE``|mag|:math:`u`| :math:`u` magnitude in the SAGE photometric system
``Mv_SAGE``|mag|:math:`v`| :math:`v` magnitude in the SAGE photometric system
``Mg_SAGE``|mag|:math:`g`| :math:`g` magnitude in the SAGE photometric system
``Mr_SAGE``|mag|:math:`r`| :math:`r` magnitude in the SAGE photometric system
``Mi_SAGE``|mag|:math:`i`| :math:`i` magnitude in the SAGE photometric system
``DDO51_SAGE``|mag|DDO51|DDO51 magnitude in the SAGE photometric system
``Han_SAGE``|mag|:math:`\text{H}\alpha_\mathrm{n}`|H :math:`\alpha_\mathrm{n}` magnitude in the SAGE photometric system
``Haw_SAGE``|mag|:math:`\text{H}\alpha_\mathrm{w}`|H :math:`\alpha_\mathrm{w}` magnitude in the SAGE photometric system
``Mj_2MASS``|mag|:math:`J`| :math:`J` magnitude in the 2MASS photometric system
``Mh_2MASS``|mag|:math:`H`| :math:`H` magnitude in the 2MASS photometric system
``Mk_2MASS``|mag|:math:`K`| :math:`K` magnitude in the 2MASS photometric system
``G_GAIA``|mag|:math:`G`| :math:`G` magnitude in the Gaia photometric system
``BP_GAIA``|mag|:math:`G_\mathrm{BP}`| :math:`G_\mathrm{BP}` magnitude in the Gaia photometric system
``RP_GAIA``|mag|:math:`G_\mathrm{RP}`| :math:`G_\mathrm{RP}` magnitude in the Gaia photometric system
``F070W_JWST``|mag|F070W|F070W magnitude in the JWST photometric system
``F090W_JWST``|mag|F090W|F090W magnitude in the JWST photometric system
``F115W_JWST``|mag|F115W|F115W magnitude in the JWST photometric system
``F150W_JWST``|mag|F150W|F150W magnitude in the JWST photometric system
``F200W_JWST``|mag|F200W|F200W magnitude in the JWST photometric system
``F277W_JWST``|mag|F277W|F277W magnitude in the JWST photometric system
``F356W_JWST``|mag|F356W|F356W magnitude in the JWST photometric system
``F444W_JWST``|mag|F444W|F444W magnitude in the JWST photometric system
``Mu_SLOAN``|mag|:math:`u\prime`| :math:`u\prime` magnitude in the Sloan photometric system
``Mg_SLOAN``|mag|:math:`g\prime`| :math:`g\prime` magnitude in the Sloan photometric system
``Mr_SLOAN``|mag|:math:`r\prime`| :math:`r\prime` magnitude in the Sloan photometric system
``Mi_SLOAN``|mag|:math:`i\prime`| :math:`i\prime` magnitude in the Sloan photometric system
